fees,lounge,milestone,name,reversal,reward
Joining/Renewal Membership Fee - Rs499/- + Applicable Taxes,"4 Complimentary Domestic Lounge Access per calendar year (1 in a quarter). Rs2 (VISA / RuPay) will be charged to the Credit Card for the Lounge Access For list of eligible Domestic lounges  Please note,  , the list of eligible domestic lounge access will be updated. For more information, please",NA,Tata Neu Plus HDFC Bank Credit Card,"Spend ₹1,00,000 or more in a year, before your Credit Card renewal date and get your renewal fee waived off.",NA
"Joining/Renewal Membership Fee - Rs1,000/- + Applicable Taxes","8 Complimentary Domestic Lounge Access per calendar year (2 in a quarter)                                Diners Club International Lounge Program   to check the list of lounges for other variants For Mastercard Cards, Rs.25 will be charged and immediately made void at the terminal for verification. For Visa/Diners Cards, Rs.2 will be charged to the card account as a transaction for verification",NA,Millennia Credit Card,Spend ₹1 lakh or more in the preceding 12 months and get renewal membership fee waived off for next year.,NA
Joining/Renewal Membership Fee - Rs. 1000/- plus Applicable Taxes,8 Complimentary Domestic Lounge Access per calendar year (2 in a quarter. Rs2 will be charged per swipe on your Millennia credit Card towards Lounge access )                                       For MasterCard Lounge Program  For Visa Lounge Program  Diners Club International Lounge Program (2 in a quarter. Rs2 will be charged per swipe on your Millennia credit Card towards Lounge access ),Spend Rs30000 & above in the first 90 days and get first year memebership fee waived off.,Millennia Credit Card,"Renewal membership fee waived off by spending ₹1,00,000 and above in the first year",NA
"Joining/ Renewal Membership Fee - Rs.1, 500/- + Applicable Taxes","8 Complimentary Domestic Lounge Access per calendar year (2 in a quarter)   for the list of lounges available for the Complimentary Domestic Airport Lounge Access Program To know the lounge access usage please visit dreamfolks.in website, login and enter your card details.",NA,6E Rewards XL - IndiGo HDFC Bank Credit Card,NA,NA
Joining/Renewal Membership Fee - Rs. 500/- + Applicable Taxes,NA,"1 Complimentary IndiGo air ticket worth Rs 1,500 on making 3 or more transactions in each of the first three months after card set up *Milestone Benefit is available only on first year membership fee payment.",6E Rewards - IndiGo HDFC Bank Credit Card,NA,NA
First year and renewal fee: Rs 1000 + taxes,NA,NA,Diners Club Rewardz Credit Card,NA,NA
INFINIA Metal Edition,"Enjoy unlimited complimentary lounge access at airports within and outside India at 1,000+ airport lounges using Priority Pass. Benefit also available for add on Priority Pass holders.",NA,INFINIA Credit Card Metal Edition in India,"Spend 10 lakhs or more in the preceding 12 months and get renewal membership fee waived off for next year. Renewal benefit 12,500 Reward Points* upon fee realisation and card activation",3.3333333333333335
Life Time Free,NA,Earn 2000 First Citizen Points on spending  Rs2 Lakhs annually,Shoppers Stop HDFC Bank Credit Card,NA,NA
"Joining/Renewal Membership Fee - Rs1,499/- + Applicable Taxes","8 Complimentary Domestic Lounge Access per calendar year (2 in a quarter). Rs2 (VISA / RuPay) will be charged to the Credit Card for the Lounge Access For list of eligible Domestic lounges  Please note,  , the list of eligible domestic lounge access will be updated. For more information, please  Using Priority Pass, you and your add on member can together avail up to 4 Complimentary Lounge Access per calendar year (1 per Quarter), outside India. If you exceed the 4 Complimentary (1 per Quarter) visits, you will be charged at US $27 + GST per visit All guests visits using Priority pass would be charged at US $27 + GST per visit per guest Priority Pass in India will attract charges on your Credit Card.   to know more. You can visit www.prioritypass.com for list of lounge details. Please write a mail to pp@prioritypass.com.hk. Please provide name, complete 18 digit Priority Pass number and state that PP Membership is via HDFC Bank program. If there is more than 1 Priority Pass number (belonging to add-on PP holders), then please provide all the PP Numbers. 4 Complimentary Lounge Access per calendar year (1 per Quarter), outside India. Customers will be charged a transaction fee of $3.25 on their Credit card towards complimentary lounge access, same shall be reversed. Visit exceeding the complimentary quota will be allowed at the discretion of lounge and will also be chargeable by the lounge.  to check for list of RuPay International Lounges",NA,Tata Neu Infinity HDFC Bank Credit Card,"Spend ₹3,00,000 or more in a year, before your Credit Card renewal date and get your renewal fee waived off.",NA
"Joining/Renewal Membership Fee - Rs. 10,000/- plus Applicable Taxes",Unlimited Airport lounge access to 1000+ Lounges in India and worldwide for primary and add-on card members.  Please download the  and register your HDFC Bank Diners Club  credit card for a personalized experience as well as for locating the entire list of available domestic & international lounges The Diners Travel Tools App is available to download for free on the    &,"HDFC Bank Diners Club Black Credit Card holders can select any 2 benefits amongst cult.fit Live 1 month membership or BookMyShow or TataCLiQ or Ola cabs vouchers worth Rs. 500 every month on spends of Rs. 80,000.",Black Card - Diners Club Black Credit Card,NA,3.3333333333333335
Joining/Renewal Membership Fee - Rs500/- + Applicable Taxes,NA,NA,Freedom Credit Card,500 CashPoints (applicable only on payment of membership fee),NA
"Joining/Renewal Membership fee will be Rs4,500 + applicable taxes","16 complimentary domestic lounge access per calendar year (4 per quarter) Click   to check the List of Lounges. 8 complimentary international lounge access per calendar year (2 per quarter)   for the list of lounges available for the Complimentary Domestic Airport Lounge Access Program from 13  August, 2022.",NA,Shoppers Stop Black HDFC Bank Credit Card,NA,NA
Joining/Renewal Membership Fee - Rs. 500/- plus Applicable Taxes,NA,NA,Fuel Credit Card - Indian Oil Credit Card,"Spend ₹50,000 and above in the first year and get a waiver on the renewal membership fee ",NA
Joining/ Renewal Membership Fee of Rs. 2500 + Applicable Taxes.,"12 complimentary access within India (both at domestic and international terminals) using the HDFC Bank Regalia Gold Credit Card. Swipe your HDFC Bank Regalia Gold Credit Card at the lounge to avail the complimentary lounge access  to check the list of lounges Visits exceeding the complimentary quota & Lounges not covered under the programme will be allowed at the discretion of lounge and will also be chargeable by the Lounge. Using Priority Pass, you and your add-on member can together avail up to 6 Complimentary Lounge Access per calendar year, outside India.  You can apply for Priority Pass for self and add-on members once you complete minimum 4 retail transactions on your HDFC Bank Regalia Gold Credit Card.   to apply. If you exceed the 6 Complimentary visits, you will be charged at US $27 + GST per visit  If you use your Priority Pass for lounge access within India, you will be charged at US $27 + GST per visit  Please write a mail to  . Please provide name, complete 18 digit Priority Pass number and state that PP Membership is via HDFC Bank program. If there is more than 1 Priority Pass number (belonging to add on PP holders), then please provide all the PP Numbers.","Get Rs 1,500 worth vouchers from Marriott, Myntra, Marks & Spencer or Reliance Digital when you spend Rs. 1.5 Lakhs in every calendar quarter. Get Rs 5,000 worth flight vouchers when you spend Rs. 5 Lakhs spends in an anniversary year  Get additional Rs 5,000 worth flight vouchers when you spend Rs. 7.5 Lakhs spends in an anniversary year",Regalia Gold Credit Card,NA,2.666666666666667
Joining/Renewal Membership Fee - Rs. 500/- + Applicable Taxes,NA,NA,IRCTC HDFC Bank Credit Card,"Spend INR 1,50,000 or more in an anniversary year, before your ",5
Joining/Renewal Membership Fee - Rs250/- + Applicable Taxes,NA,NA,HDFC Bank UPI RuPay Credit Card,,NA
Interest at the rate of 3.49% per month will be charged on any outstanding amount carried beyond the bill due date,NA,NA,Teachers Platinum Credit Card,NA,NA
"Renew your membership for free by spending Rs 50,000 in a year",NA,NA,Titanium Edge Credit Card,NA,NA
"Get your first-year's membership free by spending Rs 15,000 within the first 90 days",NA,NA,Visa Signature Credit Card,NA,NA
"Get your first-year's membership free by spending Rs 15,000 within the first 90 days",NA,NA,World MasterCard Credit Card,NA,NA
"Joining/ Renewal Membership Fee - Rs. 5,000/- + Applicable Taxes.",NA,NA,InterMiles HDFC Bank Diners Club Credit card,"Continue the exciting journey with 10,000 InterMiles upon spending Rs. 20,000 with in first 30 days of Anniversary date ** Rs. 1000  Flight Discount vouchers* Rs. 2000  Hotel Discount vouchers*  Spend Rs. 8,00,000 in a year and get a waiver of next year’s annual membership fee (Retail spend for SBR to be considered from 15-02-2019)",NA
Joining/Renewal Membership Fee - Rs. 500/- + Applicable Taxes,NA,NA,MoneyBack Credit Card - Best Cashback Credit Card,"Spend ₹50,000 and above in the first year and get renewal membership fee waived off",1.3333333333333335
Interest at the rate of 3.49% per month will be charged on any outstanding amount carried beyond the bill due date.,NA,NA,Solitaire Credit Card,NA,NA
"First year and renewal fee: Rs 2,500 + taxes",NA,NA,Diners Club Premium Credit Card,NA,NA
"Get first year's membership for free by spending Rs 15,000 within the first 90 days",NA,NA,Superia Airline Credit Card,NA,2.0
"A fee of 2.5%, with a minimum of Rs 500 is applicable on all cash withdrawals on your card.",NA,NA,Platinum Plus Credit Card,NA,NA
"Effective 1st July 2017 Service Tax , KKC & SBC of 15% is replaced by Goods&Service Tax (GST) at 18%",NA,NA,Doctor's Superia Credit Card,NA,NA
"First Year Membership Fee - Rs. 2500/- + Applicable Taxes, Renewal Membership Fee - Rs. 2500/- + Applicable Taxes",NA,NA,Doctor's Regalia Credit Card,NA,NA
"Spend Rs20,000 in a year and get a waiver of next year's annual membership",NA,NA,Business Freedom Credit Card,NA,NA
"Spend Rs50,000 in a year and get a waiver of next year's annual membership",NA,NA,Business Gold Credit Card,NA,NA
"Effective 1st July 2017 Service Tax , KKC & SBC of 15% is replaced by Goods&Service Tax (GST) at 18%",NA,NA,Business Regalia First Credit Card,NA,NA
"Renew your membership for free by spending Rs 50,000 in a year",NA,NA,Platinum Edge Credit Card,NA,NA
"Effective 1st July 2017 Service Tax , KKC & SBC of 15% is replaced by Goods&Service Tax (GST) at 18%",NA,NA,JetPrivilege HDFC Bank Select / Titanium,NA,NA
"Effective 1st July 2017 Service Tax , KKC & SBC of 15% is replaced by Goods&Service Tax (GST) at 18%",NA,NA,Business Platinum,NA,NA
Joining/Renewal Membership Fee - Rs. 500/ + Applicable Taxes,NA,Spend Rs20000 & above in the first 90 days and get first year memebership fee waived off.,EasyEMI Card,"Spend ₹50,000 and above in the first year and get a waiver on the renewal membership fee ",NA
"Spend Rs50,000 in a year and get a waiver of next year's annual membership",NA,NA,Freedom Credit Card,NA,NA
"Effective 1st July 2017 Service Tax , KKC & SBC of 15% is replaced by Goods&Service Tax (GST) at 18%",NA,NA,Business Bharat Credit Card,NA,NA
Joining / Renewal Membership Fee - Rs. 500/- Plus Applicable Taxes,NA,NA,Bharat Credit Card,NA,NA
"Get first year's membership free by spending Rs 15,000 within the first 90 days",NA,NA,All Miles Credit Card,NA,NA
Joining/ Renewal Membership Fee - Rs. 2500/- + Applicable Taxes.,"12 complimentary access per calendar year within India (both at domestic and international terminals) using the HDFC Bank Regalia Credit Card Swipe your Regalia credit card at the lounge to avail the complimentary lounge access  to check the list of lounges        Visits exceeding the complimentary quota will be allowed at the discretion of lounge and will also be chargeable by the lounge You can apply for Priority Pass for self and add on members once you complete minimum 4 retail transactions on your HDFC Bank Regalia Credit Card.   to apply. Using Priority Pass, you and your add on member can together avail up to 6 Complimentary Lounge Access per calendar year, outside India.  If you exceed the 6 Complimentary visits, you will be charged at US $27 + GST per visit  Please write a mail to  . Please provide name, complete 18 digit Priority Pass number and state that PP Membership is via HDFC Bank program. If there is more than 1 Priority Pass number (belonging to add on PP holders), then please provide all the PP Numbers.","Earn Bonus 10,000 Reward Points when you spend Rs. 5 lakhs in the anniversary year. Earn additional 5,000 Reward Points when you spend Rs. 8 lakhs spends in the anniversary year",Regalia Credit Card,Renewal fee waived off if you spend more than 3L in the previous year​​​​​​​,2.666666666666667
Annual Membership Fee: Rs. 500 + GST,NA,"1% Cashback upon spending Rs.10,000 every month (Non-EMI, Non-Wallet and Non-Rental Spends) - [Capped at Rs.100 per month]",Paytm HDFC Bank Credit Card,NA,NA
Annual Membership Fee: Rs.1000 + GST,"8 Complimentary access to Domestic Airport Lounges across country in a calendar year (Capped at 2 visits per Quarter). Click   to check the list of lounges (A transaction fee of Rs. 2 will be charged to your credit card for the lounge access          for the list of lounges available for the Complimentary Domestic Airport Lounge Access Program from November, 2023.","Earn Gift Vouchers worth Rs.500 upon spending Rs.50,000 (Non-EMI, Non-Wallet and Non-Rental Spends) every Calendar Quarter - [Select your Health & Wellness, Shopping, Entertainment, Food delivery, etc.] Qualified customers will be communicated for availing Gift Vouchers.",Paytm HDFC Bank Select Credit Card Fees & Charges,"Renewal Year Fee waived upon spending Rs. 1,50,000 (Non-EMI Spends) in the 12 months period.",NA
"First Year Membership Fee - Rs. 1000/- + Applicable Taxes, Renewal Membership Fee - Rs. 1000/- + Applicable Taxes",NA,NA,Regalia First Credit Card,NA,NA
Joining/ Renewal Membership Fee - Rs. 2500/- + Applicable Taxes.,NA,NA,InterMiles HDFC Bank Signature Credit card,"Continue the exciting journey with 3,000 InterMiles upon spending Rs. 6,000 with in first 30 days of Anniversary date ** Rs. 750  Flight Discount vouchers* Rs. 1000  Hotel Discount vouchers*  ​​​​​​​ Spend Rs. 3 lac on your InterMiles HDFC Bank Signature/World Credit Card within 12 months of the Card setup date or within 12 months of Card renewal date and get the renewal fee for the next year waived off*",NA
Annual Membership Fee: Rs. 149 + GST,NA,"Upgrade to Paytm HDFC Bank Credit Card by spending Rs.10,000 in 3 consecutive months (Non-EMI Spends and Non-Rental Spends)",Paytm HDFC Bank Mobile Credit Card,NA,NA
Joining/Renewal Membership Fees Rs 500/- plus Applicable Taxes,NA,NA,HDFC Bank Times Card Credit,"Spend ₹ 1,50,000 in a year and get a waiver of renewal membership fee.",1.3333333333333335
Joining/Renewal Membership Fees Rs 1000/- plus Applicable Taxes,NA,NA,HDFC Bank Times Platinum Credit Card Benefits,"Spend ₹ 2,50,000 in a year and get a waiver of renewal membership fee",2.0
"Joining/ Renewal Membership Fee - Rs. 1,000/- + Applicable Taxes.",NA,NA,InterMiles HDFC Bank Platinum Credit card,"Continue the exciting journey with 1,500 InterMiles upon spending Rs. 3,000 with in first 30 days of Anniversary date ** Rs. 500 flight Discount voucher* Rs. 1000  Hotel Discount voucher*  Spend Rs. 2.5 lac on your InterMiles HDFC Bank Platinum Credit Card within 12 months of the Card setup date or within 12 months of Card renewal date and get the renewal fee for the next year waived off*",NA
"First year and renewal Membership Fee - Rs1,000/- + Applicable Taxes",NA,NA,Diners Club Miles Credit Card,NA,2.666666666666667
Joining/Renewal Membership Fee - Rs. 2500/- plus Applicable Taxes,12 Complimentary Airport lounge access to 1000+ Lounges in India and worldwide  for primary and add-on card members in a calendar year.  Please download the  and register your HDFC Bank Diners Club  credit card for a personalized experience as well as for locating the entire list of available domestic & international lounges The Diners Travel Tools App is available to download for free on the   &,"HDFC Bank Diners Club Privilege Credit Card holders can select any 1 benefit amongst cult.fit Live 1 month membership or BookMyShow or TataCLiQ or Ola cabs vouchers worth Rs. 500 every month on spends of Rs. 40,000 (T&C  )",Diners Club Privilege Credit Card,Spend ₹ 3L in 12 Months and get Renewal Fee waived for next renewal year.,2.666666666666667
